,PLATFORM_NUMBER,LATITUDE_min,LATITUDE_max,LONGITUDE_min,LONGITUDE_max,TIME_min,TIME_max
99,5906276,-14.698,-14.323,85.994,86.136,2023-03-05 17:29:30,2023-03-25 15:41:35
100,5906277,-13.672,-13.527,91.314,91.63,2023-03-05 11:49:39,2023-03-25 10:06:20
101,5906279,-17.798,-17.569,77.135,78.044,2023-03-06 09:19:57,2023-03-26 07:46:16
102,5906280,-11.568,-11.372,78.63,79.308,2023-03-05 23:14:38,2023-03-26 00:05:33
103,5906536,-19.6105,-19.2367,54.1821,54.516,2023-03-09 05:36:11,2023-03-29 20:26:45
104,5906537,-12.5871,-11.8702,59.5119,59.8565,2023-03-08 01:03:29,2023-03-27 23:39:44
105,5906539,-5.231,-4.5527,61.355,62.2546,2023-03-02 11:57:18,2023-03-22 11:29:56
106,5906540,-9.0248,-8.42,45.737,45.8223,2023-03-06 14:58:14,2023-03-16 14:58:12
107,5906970,-11.620181666666667,-11.122502666666666,55.10216366666667,55.60896983333334,2023-03-03 07:30:48,2023-03-23 14:40:32
108,6903007,13.77876,13.937136666666667,57.140366666666665,57.20941666666667,2023-03-01 14:48:30,2023-03-05 14:38:30
109,6903031,-7.809471666666667,-7.472495,50.72076,50.92565166666667,2023-03-08 22:49:00,2023-03-28 22:31:00
110,6903058,16.353675,17.358675,59.848945,60.374763333333334,2023-03-02 14:47:30,2023-03-30 14:57:30
111,6903062,11.67795,12.55053,48.367641666666664,50.223958333333336,2023-03-02 14:56:30,2023-03-30 15:01:30
112,6903063,13.902891666666667,16.142895,52.55381833333333,53.76043,2023-03-02 14:37:30,2023-03-30 14:59:30
113,6903088,-12.208525,-12.007146666666667,50.52258833333333,50.75685166666667,2023-03-08 06:52:00,2023-03-27 23:37:00
114,6903148,-13.429961666666667,-12.547761666666666,55.735818333333334,56.774276666666665,2023-03-08 10:40:20,2023-03-28 20:34:20
115,6903150,-9.81508,-9.12571,41.84413333333333,42.62263166666666,2023-03-03 05:47:20,2023-03-23 15:47:20
116,6990503,-3.014634833333333,-2.4664285,53.53438833333333,55.98762266666666,2023-03-03 07:54:14,2023-03-23 07:56:14
117,6990504,-5.511272166666667,-5.310714333333334,60.98616633333333,61.1189025,2023-03-04 07:49:16,2023-03-24 07:53:16
118,6990505,-11.572548,-11.309499,55.94477416666667,56.11392550000001,2023-03-07 07:51:29,2023-03-26 06:12:09
119,7901003,-19.770058333333335,-19.231141666666666,58.37408833333333,58.70344,2023-03-13 19:44:40,2023-03-24 00:32:40
120,7901013,-9.800486666666666,-9.13237,46.85298,49.00391833333333,2023-03-03 09:36:00,2023-03-23 19:17:00
